name,category,lat,lon,address,city,phone,website,source,opportunity_score
Clique Restaurant,restaurant,42.3332723,-83.0335176,East Jefferson Avenue,Detroit,,,OSM,40
Mario's,restaurant,42.3502132,-83.0658135,,Windsor,,,OSM,40
Detroit One Coney Island,restaurant,42.3457613,-83.0570793,3433 Woodward Avenue,Detroit,,,OSM,40
Peterboro,restaurant,42.3442992,-83.0606137,,Windsor,,,OSM,40
Pho Lucky,restaurant,42.3444618,-83.0561941,3111 Woodward Avenue,Detroit,,,OSM,40
The Block,restaurant,42.3497675,-83.0597467,,Windsor,,,OSM,40
Farmer's Restaurant,restaurant,42.3469164,-83.0392267,,Windsor,,,OSM,40
Zef's Coney Island,restaurant,42.3455454,-83.0401403,2469 Russell Street,Detroit,,,OSM,40
Vicente's Cuban Cuisine,restaurant,42.3344738,-83.0469904,1250 Library Street,Detroit,,,OSM,40
Hellenic Restaurant,restaurant,42.4885752,-83.2406735,,Windsor,,,OSM,40
El Caribeño,restaurant,42.3108203,-83.1283389,,Windsor,,,OSM,40
Famous Tasty Chicken,restaurant,42.3130759,-83.1224198,,Windsor,,,OSM,40
Las Palmas,restaurant,42.3146458,-83.1191046,,Windsor,,,OSM,40
CedarLand,restaurant,42.3439493,-83.1711467,13007 Warren Ave,Dearborn,,,OSM,40
Marco's Pizzaria& Italian Family Eatery,restaurant,42.3061058,-82.9736566,4141 Tecumseh Road East,Windsor,,,OSM,40
Vertical,restaurant,42.3363604,-83.0474164,,Windsor,,,OSM,40
Dilla's Donuts,restaurant,42.3364274,-83.0476807,,Windsor,,,OSM,40
Lunch Time Global,restaurant,42.3307076,-83.0449477,660 Woodward Avenue,Detroit,,,OSM,40
Ale Mary's,restaurant,42.487615,-83.1444002,,Windsor,,,OSM,40
Nicky D's Coney Island,restaurant,42.416858,-83.1411812,,Windsor,,,OSM,40
Mr. Kabob Mediterranean,restaurant,42.3337028,-83.0452929,119 Monroe Street,Detroit,,,OSM,40
Central Kitchen + Bar,restaurant,42.3312511,-83.0457994,660 Woodward Avenue,Detroit,,,OSM,40
Flowers of Vietnam,restaurant,42.3201566,-83.0965034,4430 West Vernor Highway,Detroit,,,OSM,40
Al Ajami,restaurant,42.343434,-83.1875837,Chase Road,Windsor,,,OSM,40
Oyaki sushi,restaurant,42.3275605,-83.2990237,Ford Road,Windsor,,,OSM,40
Christine's Cuisine,restaurant,42.4613045,-83.1240283,,Windsor,,,OSM,40
Bistro at the River,restaurant,42.3197877,-83.0407403,,Windsor,,,OSM,40
Mabel Gray,restaurant,42.4675232,-83.1044866,23825 John R Road,Windsor,,,OSM,40
The Apparatus Room,restaurant,42.3282327,-83.0483848,250 Larned Street West,Windsor,,,OSM,40
Red Dunn Kitchen,restaurant,42.3270936,-83.0643498,1331 Trumbull Street,Windsor,,,OSM,40
Voyager,restaurant,42.4612275,-83.125928,600 Vester Street,Ferndale,,,OSM,40
M.C.'Wiches,restaurant,42.4606992,-83.1359609,172 West 9 Mile Road,Ferndale,,,OSM,40
Star of India,restaurant,42.4607648,-83.1360321,180 West 9 Mile Road,Ferndale,,,OSM,40
May's Bangkok Express,restaurant,42.4606674,-83.1372613,254 West 9 Mile Road,Ferndale,,,OSM,40
GreenSpace Cafe,restaurant,42.4604213,-83.1364977,215 West 9 Mile Road,Ferndale,,,OSM,40
M-Brew,restaurant,42.4617226,-83.1333763,177 Vester Street,Ferndale,,,OSM,40
Detroit Fleat,restaurant,42.4609483,-83.1127348,1820 East 9 Mile Road,Ferndale,,,OSM,40
Omega Hawg & Dawg Deli,restaurant,42.4637788,-83.1228825,2100 Hilton Road,Ferndale,,,OSM,40
Double EE Restaurant,restaurant,42.4613145,-83.1123794,1861 East 9 Mile Road,Ferndale,,,OSM,40
Hong Kong 1,restaurant,42.4607729,-83.1442692,750 West 9 Mile Road,Ferndale,,,OSM,40
Toast,restaurant,42.4640092,-83.1364333,23144 Woodward Avenue,Ferndale,,,OSM,40
Southern Belle's Bistro,restaurant,42.4620194,-83.1360302,22939 Woodward Avenue,Ferndale,,,OSM,40
Inyo Restaurant & Lounge,restaurant,42.4614262,-83.1356513,22871 Woodward Avenue,Ferndale,,,OSM,40
Cork Wine Pub,restaurant,42.4697854,-83.1403161,23810 North Woodward Avenue,Pleasant Ridge,,,OSM,40
Joe Schmoe's,restaurant,42.2478709,-83.0618363,5881 Malden Road,Windsor,,,OSM,40
Ima noodles,restaurant,42.3311861,-83.0739045,2015 Michigan Avenue,Windsor,,,OSM,40
New Kirin Eatery,restaurant,42.2878347,-83.0225902,2466 Dougall Avenue,Windsor,,,OSM,40
The Auburn Taverna,restaurant,42.2012015,-83.1507201,118 Sycamore Street,Wyandotte,,,OSM,40
Detroit Vegan Soul,restaurant,42.4078595,-83.2352705,19614 Grand River Avenue,Detroit,,,OSM,40
Lily's Seafood,restaurant,42.4868917,-83.14681,410 South Washington Avenue,Royal Oak,,,OSM,40
Aurora Coney Island,restaurant,42.4287475,-83.273633,,Windsor,,,OSM,40
Gold Cash Gold,restaurant,42.3315628,-83.0752579,2100 Michigan Avenue,Detroit,,,OSM,40
Folk,restaurant,42.3295223,-83.065772,1701 Trumbull Street,Detroit,,,OSM,40
Urban Ramen,restaurant,42.3520075,-83.06068,4206 Woodward Avenue,Detroit,,,OSM,40
Beyond Juice and Eatery,restaurant,42.3460052,-83.0404444,2501 Russell Street,Detroit,,,OSM,40
Rivertown Pizza Papalis,restaurant,42.3411444,-83.017114,3171 East Jefferson Avenue,Detroit,,,OSM,40
Chili Mustard Onions,restaurant,42.3476837,-83.0526846,3411 Brush Street,Detroit,,,OSM,40
Happy's Pizza,restaurant,42.3438862,-83.0084127,6412 East Jefferson Avenue,Detroit,,,OSM,40
Fu Lin,restaurant,42.3725482,-83.0981044,8677 Rosa Parks Boulevard,Detroit,,,OSM,40
Royale with Cheese,restaurant,42.3502903,-83.0635982,4163 Cass Avenue,Detroit,,,OSM,40
3 Sisters Cafe,restaurant,42.3988263,-83.103399,13214 Hamilton Avenue,Highland Park,,,OSM,40
Red Hots Coney Island,restaurant,42.4083346,-83.0970698,12 Victor Street,Highland Park,,,OSM,40
Scotty Simpson’s Fish and Chips,restaurant,42.4004618,-83.2594908,22200 Fenkell Street,Detroit,,,OSM,40
Sweet Soul Bistro,restaurant,42.4163634,-83.1817065,,Windsor,,,OSM,40
The Telway,restaurant,42.3313112,-83.1279171,6820 Michigan Avenue,detroit,,,OSM,40
Vicki’s BBQ,restaurant,42.3446492,-83.1050059,3845 West Warren Avenue,Detroit,,,OSM,40
El Taco Veloz,restaurant,42.3189881,-83.1101707,6172 Toledo Street,Detroit,,,OSM,40
El Parian,restaurant,42.3188208,-83.0998359,,Windsor,,,OSM,40
SheWolf Pastificio,restaurant,42.3480768,-83.0631174,438 Selden Street,Detroit,,,OSM,40
Townhouse,restaurant,42.3301215,-83.0452,500 Woodward Avenue,Detroit,,,OSM,40
Ham Shop Cafe,restaurant,42.3340451,-83.0442423,,Windsor,,,OSM,40
Woodward Coney,restaurant,42.3306181,-83.0456679,,Windsor,,,OSM,40
Taco Veloz,restaurant,42.3527092,-83.0666841,,Windsor,,,OSM,40
Top China 1,restaurant,42.345036,-83.0565628,3157 Woodward Avenue,Detroit,,,OSM,40
The Trolley Room,restaurant,42.3312786,-83.0506895,,Windsor,,,OSM,40
Motor City Kitchen,restaurant,42.3291837,-83.0525566,,Windsor,,,OSM,40
London Chop House,restaurant,42.3293115,-83.0475747,155 Congress Street East,Windsor,,,OSM,40
Al-Saha,restaurant,42.3442171,-83.1827541,,Windsor,,,OSM,40
Standby,restaurant,42.3347603,-83.0470636,,Windsor,,,OSM,40
Joe Muer Seafood,restaurant,42.328291,-83.0404875,Detroit,Detroit,,,OSM,40
BESA,restaurant,42.3304601,-83.0455006,,Windsor,,,OSM,40
Anita's Kitchen,restaurant,42.328801,-83.0462637,,Windsor,,,OSM,40
The District Grill,restaurant,42.3284884,-83.0468597,Detroit,Detroit,,,OSM,40
Pekin Chinese Food,restaurant,42.3466282,-83.0039276,6905 East Jefferson Avenue,Detroit,,,OSM,40
Belle Isle Pizza,restaurant,42.3510866,-82.9957766,7869 East Jefferson Avenue,Detroit,,,OSM,40
Palace Pizza,restaurant,42.3790565,-82.9794883,11207 Mack Avenue,Detroit,,,OSM,40
Frenchies,restaurant,42.3588258,-82.998357,8100 Kercheval Street,Detroit,,,OSM,40
Do Good Deli,restaurant,42.3108209,-83.0350159,875 Ouellette Avenue,Windsor,,,OSM,40
Hummus & Garlic,restaurant,42.2005736,-83.1793582,3183 Fort Street,Wyandotte,,,OSM,40
Lola Mae's Bistro & Bar,restaurant,42.3872588,-83.1973139,15420 Schoolcraft Street,Detroit,,,OSM,40
Lavish Bar & Grill,restaurant,42.3895168,-83.1974029,14104 Greenfield Road,Detroit,,,OSM,40
Clean Plates,restaurant,42.4604815,-83.1355094,149 West 9 Mile Road,Ferndale,,,OSM,40
Hamlin Corner,restaurant,42.4913567,-83.1441451,,Windsor,,,OSM,40
Strada,restaurant,42.4911139,-83.1441372,,Windsor,,,OSM,40
Detroit Taco Company,restaurant,42.490749,-83.1431498,,Windsor,,,OSM,40
Antihero,restaurant,42.4604528,-83.1364173,231 West 9 Mile Road,Windsor,,,OSM,40
Blaze Pizza,restaurant,42.4893663,-83.1445923,,Windsor,,,OSM,40
Grey Ghost,restaurant,42.3451498,-83.0556733,47 Watson Street,Detroit,,,OSM,40
Warda Pâtisserie,restaurant,42.3502635,-83.0613451,,Windsor,,,OSM,40
Bangkok Cafe,restaurant,42.4603669,-83.1385468,,Windsor,,,OSM,40
Evergreen Fish Express,restaurant,42.3393027,-83.2350463,,Windsor,,,OSM,40
Olga's Kitchen,restaurant,42.2809127,-83.2087466,,Windsor,,,OSM,40
The Great Greek Mediterranean Grill,restaurant,42.282818,-83.2038049,,Windsor,,,OSM,40
Pizza Hut,restaurant,42.4053357,-82.9325845,16835 East Warren Avenue,Detroit,,,OSM,40
Mahjara Grille,restaurant,42.3039395,-83.251803,,Windsor,,,OSM,40
Sake Sushi,restaurant,42.4870094,-83.1443944,410 South Main Street,Royal Oak,,,OSM,40
Mediterranean Street Food,restaurant,42.3517077,-83.0610546,,Windsor,,,OSM,40
Pho Mango,restaurant,42.2882765,-83.0571893,,Windsor,,,OSM,40
Johnson's Restaurant,restaurant,42.2635335,-82.9682187,,Windsor,,,OSM,40
Eastern Flavours,restaurant,42.2616941,-82.967493,,Windsor,,,OSM,40
Dan Dan Asian Diner,restaurant,42.2592585,-82.9658315,4140 Walker Road,Windsor,,,OSM,40
Cora,restaurant,42.2573471,-82.9645389,4328 Walker Road,Windsor,,,OSM,40
Pho Windsor,restaurant,42.2555127,-82.9631444,,Windsor,,,OSM,40
Tenko Sushi,restaurant,42.2550161,-82.9632007,,Windsor,,,OSM,40
Gul Gul Lebanese & Turkish Cuisine,restaurant,42.310939,-82.9424893,Tecumseh Road East,Windsor,,,OSM,40
Stacks,restaurant,42.3165367,-82.9312092,,Windsor,,,OSM,40
Tandoori Taste of India,restaurant,42.3137105,-82.9194217,,Windsor,,,OSM,40
The Canadian Brewhouse,restaurant,42.2752411,-83.0040373,,Windsor,,,OSM,40
Mandarin,restaurant,42.273576,-83.0026724,,Windsor,,,OSM,40
Moxie's,restaurant,42.2737554,-83.0002724,,Windsor,,,OSM,40
Cramdon's,restaurant,42.2749931,-83.0134532,,Windsor,,,OSM,40
Southside Bar & Grill,restaurant,42.2727766,-83.0133076,,Windsor,,,OSM,40
Szechuan Kitchen,restaurant,42.2722812,-83.0139583,,Windsor,,,OSM,40
Kitchen of Michael Anthony,restaurant,42.2719759,-83.0117864,,Windsor,,,OSM,40
John Max Sports & Wings,restaurant,42.2689262,-83.0097791,,Windsor,,,OSM,40
Paramount Fine Foods,restaurant,42.2693409,-83.0100418,,Windsor,,,OSM,40
Toscana,restaurant,42.2556582,-83.0031306,,Windsor,,,OSM,40
Spago,restaurant,42.2569303,-83.0027777,,Windsor,,,OSM,40
Tarboush,restaurant,42.2565919,-83.0028271,,Windsor,,,OSM,40
Iguna Sushi Bar,restaurant,42.2563786,-83.0024253,,Windsor,,,OSM,40
Zo's Good Burger,restaurant,42.3672602,-83.0806124,2894 West Grand Boulevard,Detroit,,,OSM,40
La Lanterna,restaurant,42.3330455,-83.0490314,1224,Windsor,,,OSM,40
Freshii,restaurant,42.4878803,-83.1444412,,Windsor,,,OSM,40
Fong's Villa,restaurant,42.3118882,-82.8756381,,Windsor,,,OSM,40
Armando's Pizzeria,restaurant,42.3116391,-82.8723588,,Windsor,,,OSM,40
Simply Thai,restaurant,42.313167,-82.8704972,,Windsor,,,OSM,40
Village Kitchen,restaurant,42.3137454,-82.8670696,,Windsor,,,OSM,40
Beijing House,restaurant,42.3138483,-82.8684977,,Windsor,,,OSM,40
Swiss Chalet,restaurant,42.3110689,-82.8686897,,Windsor,,,OSM,40
Fratelli Pasta Grill,restaurant,42.3102776,-82.8711838,,Windsor,,,OSM,40
Capri Pizzeria,restaurant,42.3068224,-82.8662949,,Windsor,,,OSM,40
Windsor Palace,restaurant,42.3080839,-82.8686085,,Windsor,,,OSM,40
Antonio's,restaurant,42.3071111,-82.8712238,,Windsor,,,OSM,40
Cara Pasta,restaurant,42.3067329,-82.8686927,,Windsor,,,OSM,40
Kelsey's,restaurant,42.3067571,-82.8689495,,Windsor,,,OSM,40
Gar Won,restaurant,42.3094282,-82.9562214,,Windsor,,,OSM,40
Gatsy's,restaurant,42.305901,-82.9748226,,Windsor,,,OSM,40
Li's,restaurant,42.3053975,-82.9792656,,Windsor,,,OSM,40
Pat and Hanks,restaurant,42.3039769,-82.9849054,,Windsor,,,OSM,40
Bamboo Chinese Eatery,restaurant,42.3036397,-82.986655,,Windsor,,,OSM,40
QQ Restaurant & Lounge,restaurant,42.3029425,-82.992215,,Windsor,,,OSM,40
